feature,importance
std_hr_7d,88.0
std_hr_30d,74.8
steps_change_7d_vs_30d,70.0
calories_change_7d_vs_30d,67.6
hr_change_7d_vs_30d,61.2
sleep_change_7d_vs_30d,60.6
latest_bmi,59.8
avg_calories_7d,59.0
height_cm,57.4
std_sleep_minutes_30d,50.6
std_steps_7d,42.0
sleep_efficiency_30d,41.6
std_steps_30d,40.8
max_hr_30d,39.2
training_load_14d,37.2
training_load_change_7d_vs_30d,35.4
training_load_30d,34.4
training_load_7d,26.8
avg_steps_7d,26.6
weight_change_30d,24.8
sleep_variability_30d,24.0
activity_change_7d_vs_30d,22.4
training_load_change_7d_vs_previous_7d,21.8
avg_hr_7d,21.8
avg_active_minutes_30d,20.4
latest_weight,20.2
max_steps_30d,17.4
avg_hr_30d,17.0
avg_calories_30d,16.8
gym_sessions_30d,16.8
years_playing,16.8
min_steps_30d,16.4
training_sessions_30d,14.8
weight_kg_baseline,13.2
training_minutes_30d,13.0
minimum_sleep_30d,12.8
team_id_FOO-5,12.0
avg_sleep_minutes_30d,11.8
avg_time_in_bed_7d,11.8
avg_steps_30d,11.6
avg_hr_14d,11.6
team_id_FOO-4,10.0
age,10.0
avg_time_in_bed_30d,9.8
training_minutes_14d,9.6
avg_steps_14d,9.6
avg_sleep_minutes_14d,9.6
min_hr_30d,9.4
average_weight_30d,8.6
avg_sleep_minutes_7d,8.2
latest_body_fat,7.4
scrimmage_sessions_30d,7.2
training_minutes_7d,6.8
practice_sessions_30d,6.8
prior_season_injury_count,6.6
avg_distance_7d,6.4
training_sessions_14d,5.8
avg_active_minutes_7d,4.4
position_Defender,4.0
team_id_BAD-4,3.8
team_id_BAS-1,3.8
avg_distance_30d,3.2
position_Guard,2.4
sport_Basketball,2.2
position_Singles,2.0
sport_Tennis,1.8
gender_female,1.8
training_sessions_7d,1.8
sport_Volleyball,1.6
position_Jumps,1.4
position_Blocker,1.2
team_id_VOL-2,1.2
team_id_VOL-1,1.2
sport_Athletics,1.2
gender_male,1.0
sport_Badminton,1.0
team_id_BAD-3,1.0
team_id_BAS-2,0.8
position_Libero,0.8
position_Forward,0.8
team_id_ATH-5,0.8
position_Distance,0.8
position_Throws,0.8
team_id_ATH-1,0.8
team_id_BAS-3,0.6
team_id_FOO-3,0.6
team_id_ATH-4,0.6
position_Doubles,0.6
position_Setter,0.6
team_id_ATH-2,0.6
team_id_TEN-4,0.4
sport_Football,0.4
team_id_BAD-2,0.4
position_Center,0.4
team_id_FOO-1,0.4
team_id_VOL-3,0.2
team_id_VOL-4,0.2
team_id_FOO-2,0.2
dominant_side_left,0.2
team_id_ATH-3,0.2
position_Goalkeeper,0.2
team_id_BAD-5,0.2
position_Midfielder,0.2
position_Spiker,0.2
team_id_BAS-4,0.0
dominant_side_right,0.0
position_Sprinter,0.0
team_id_TEN-5,0.0
team_id_TEN-2,0.0
team_id_TEN-3,0.0
team_id_BAS-5,0.0
team_id_TEN-1,0.0
avg_sedentary_minutes_7d,0.0
avg_sedentary_minutes_30d,0.0
team_id_BAD-1,0.0
team_id_VOL-5,0.0
